location,rooms,total_listings,latitude,longitude
La grande-paroisse (77130),6,1,48.3860553,2.9009239
La queue-en-brie (94510),6,1,48.7903338,2.5749323
La rochette (77000),1 chambre,1,48.5045038,2.662899
La ville-du-bois (91620),"2 chambres1 chambre,Type  cuisine : Cuisine américaine,1 salle d'eau1 chambre",3,48.6610752,2.2687891
Lagny-sur-marne (77400),"3 chambres,Type  cuisine : Cuisine américaine4 chambres3 chambres4 chambres,Type  cuisine : Cuisine séparée équipée",4,48.8773018,2.7056056
Lardy (91510),3 chambres4 chambres,2,48.5204818,2.2654419
Le blanc mesnil (93150),1 chambre1 chambre,2,48.9385489,2.4631476
Le bourget (93350),"2 chambres,1 salle d'eau1 chambre,1 salle de bain",2,48.9351403,2.4258354
Le chesnay (78150),"2 chambres,Type  cuisine : Cuisine indépendante1 chambre1 chambre3 chambres",4,48.8264842,2.1257808
Le chesnay rocquencourt (78150),3 chambres,1,48.829839,2.1217888
Le kremlin bicetre (94270),3 chambres2 chambres,2,48.8125893,2.3570028
Le mee-sur-seine (77350),3,1,48.5381859,2.6335912
Le mée-sur-seine (77350),"4 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.5381859,2.6335912
Le pecq (78230),3 chambres1 chambre2 chambres4 chambres,4,48.8972505,2.1066273
Le perray-en-yvelines (78610),5 chambres,1,48.6924665,1.8538535
Le perreux sur marne (94170),343 chambres3 chambres4 chambres4 chambres3 chambres4 chambres,8,48.8406252,2.5076601
Le perreux-sur-marne (94170),72 chambres,2,48.8406252,2.5076601
Le plessis robinson (92350),"3 chambres,1 salle de bain,2 toilettes séparées3 chambres",2,48.7811049,2.2619632
Le plessis-trévise (94420),2,1,48.8091528,2.5732616
Le port-marly (78560),3 chambres,1,48.8809876,2.109145
Le pre-saint-gervais (93310),2 chambres1 chambre,2,48.8830565,2.4040111
Le thillay (95500),"5 chambres,1 salle de bain,1 salle d'eau",1,49.0053,2.46926
Les clayes sous bois (78340),"3 chambres,1 salle de bain,1 salle d'eau",1,48.8214478,1.9871825
Les lilas (93260),1 chambre4 chambres,2,48.8795658,2.415796
Les pavillons sous bois (93320),4 chambres,1,48.9082988,2.5034999
Les ulis (91940),"4 chambres,Type  cuisine : Cuisine séparée équipée4 chambres",2,48.681708,2.1701573
Leuville-sur-orge (91310),"4 chambres3 chambres,Type  cuisine : Cuisine équipée,1 salle d'eau3 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau4 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 salle d'eau,Cheminée",4,48.6155573,2.2674029
Levallois perret (92300),2 chambres1 chambre2 chambres2 chambres2 chambres2 chambres4 chambres,8,48.892956,2.2881683
Levallois-perret (92300),1 chambre2 chambres,2,48.892956,2.2881683
Lieusaint (77127),"3 chambres,Type  cuisine : Cuisine séparée équipée",2,48.6316608,2.5514783
Limay (78520),"2 chambres,1 salle de bain4 chambres2 chambres1 chambre1 chambre",5,48.9921015,1.7353686
Limeil brevannes (94450),1 chambre2 chambres,2,48.7489857,2.4809129
Limours (91470),"6 chambres,Type  cuisine : Cuisine séparée équipée",1,48.6458221,2.0770987
Linas (91310),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres,Type  cuisine : Cuisine indépendante3 chambres,1 salle d'eau3 chambres,Type  cuisine : Cuisine indépendante1 chambre",5,48.6306286,2.2701898
Livry gargan (93190),4 chambres6 chambres,2,48.917335,2.5298854
Livry-gargan (93190),"1 chambre,Type  cuisine : Cuisine indépendante1 chambre2 chambres",3,48.917335,2.5298854
Lizy sur ourcq (77440),4 chambres,1,49.0273072,3.0218144
Lommoye (78270),4 chambres,1,48.9937731,1.5107268
Longjumeau (91160),1 chambre4 chambres2 chambres2 chambres,4,48.6943793,2.2953297
Longuesse (95450),8,1,49.0625454,1.9314848
Longueville (77650),"3 chambres,Type  cuisine : Cuisine indépendante",1,50.7318957,1.8791461
Louvres (95380),3 chambres,1,49.0449139,2.5096751
Lumigny nesles ormeaux (77540),7 chambres,1,48.7247112,2.9642336
Magnanville (78200),3 chambres,1,48.9681039,1.6847431
Magny en vexin (95420),"3 chambres,1 salle d'eau",1,49.1554403,1.7864359
Magny les hameaux (78114),3 chambres,1,48.724051,2.0839562
Magny-en-vexin (95420),5 chambres2 chambres4 chambres,3,49.1554403,1.7864359
Magny-les-hameaux (78114),4 chambres,1,48.724051,2.0839562
Maisons alfort (94700),2 chambres2 chambres4 chambres,3,48.8012045,2.4309703
Maisons laffitte (78600),7 chambres,1,48.9461437,2.1450951
Maisons-alfort (94700),441 chambre,3,48.8012045,2.4309703
Malakoff (92240),4 chambres3 chambres4 chambres,3,48.8211559,2.3019814
Mantes la jolie (78200),"42 chambres,1 salle de bain2 chambres,1 salle de bain6 chambres,1 salle de bain,1 salle d'eau5 chambres1 chambre",6,48.9891971,1.7140683
Mantes la ville (78711),"3 chambres,1 salle d'eau2 chambres,1 salle d'eau1 chambre6 chambres",4,48.9748938,1.7109449
Mantes-la-jolie (78200),3 chambres2 chambres,3,48.9891971,1.7140683
Mantes-la-ville (78711),2 chambres3 chambres3 chambres2 chambres3 chambres,5,48.9748938,1.7109449
Marcoussis (91460),"5 chambres,2 salles de bain3 chambres",2,48.6427131,2.230811
Mareil marly (78750),3 chambres,1,48.8823232,2.0764516
Marines (95640),"4 chambres,1 salle d'eau",1,39.6755957,-0.5612995
Marly le roi (78160),4 chambres,1,48.8681762,2.0965935
Marly-la-ville (95670),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.0823913,2.5034402
Marnes la coquette (92430),6 chambres,1,48.8293583,2.1756093
Marolles-en-brie (94440),"4 chambres,Type  cuisine : Cuisine indépendante",2,48.7761644,3.162953
Massy (91300),63 chambres2 chambres,3,49.6902106,1.399492
Maule (78580),"5 chambres3 chambres,1 salle d'eau1 chambre,1 salle d'eau3 chambres",4,-35.5972284,-71.48868
Maurepas (78310),6,1,49.9905624,2.8478956
Meaux (77100),"71234 chambres3 chambres3 chambres2 chambres1 chambre,1 salle de bain2 chambres5 chambres3 chambres",12,48.9582708,2.8773541
Melun (77000),3 chambres3 chambres1 chambre,4,48.539927,2.6608169
Mennecy (91540),"51 chambre,1 salle de bain",2,48.5666645,2.4347044
Menouville (95810),"3 chambres,2 salles de bain",1,49.1503612,2.1103519
Menucourt (95180),"3 chambres3 chambres,Type  cuisine : Cuisine indépendante",2,49.027615,1.9815885
Mery sur oise (95540),2 chambres,1,49.0634561,2.1836324
Mery-sur-oise (95540),1 chambre,1,49.0634561,2.1836324
Messy (77410),2 chambres,1,48.9664371,2.7002556
Meudon (92190),2 chambres1 chambre1 chambre,4,48.8126688,2.2385432
Meudon la foret (92360),3,1,48.7876528,2.2281028
Meulan en yvelines (78250),2 chambres,1,49.0049712,1.9100835
Mezieres sur seine (78970),5 chambres,1,48.9608736,1.7961756
Mezieres-sur-seine (78970),5 chambres,1,48.9608736,1.7961756
Mezy-sur-seine (78250),5 chambres,1,49.0004243,1.8802837
Milly-la-forêt (91490),"5 chambres,Type  cuisine : Cuisine séparée équipée",2,48.4028842,2.4702697
Mitry-mory (77290),"4 chambres,Type  cuisine : Cuisine américaine",1,48.9839674,2.6183971
Moisselles (95570),"3 chambres,1 salle de bain,1 salle d'eau",1,49.0477857,2.3367986
Moisson (78840),5 chambres,1,49.0737614,1.6685753
Moissy cramayel (77550),3,1,48.6272298,2.5937073
Moissy-cramayel (77550),12 chambres,2,48.6272298,2.5937073
Mondreville (77570),"4 chambres,Type  cuisine : Cuisine indépendante",1,48.1435271,2.6112647
Montdauphin (77320),0,1,48.851879,3.4279028
Montereau fault yonne (77130),"2 chambres,1 salle de bain,1 toilettes séparées",1,48.3849647,2.9557006
Montereau-fault-yonne (77130),"2 chambres,Cheminée2 chambres",3,48.3849647,2.9557006
Montevrain (77144),2 chambres,1,48.8741286,2.748344
Montfermeil (93370),5 chambres,1,48.8992679,2.5660399
Montgeron (91230),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.7038873,2.4605107
Montigny les cormeilles (95370),"3 chambres,1 salle de bain3 chambres",2,48.9959113,2.1989225
Montigny-lès-cormeilles (95370),2 chambres,1,48.9959113,2.1989225
Montigny-sur-loing (77690),5 chambres,1,48.3405032,2.757804
Montlhery (91310),1 chambre,1,48.6396904,2.2710952
Montlhéry (91310),"2 chambres,Type  cuisine : Cuisine séparée équipée5 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau2 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain1 chambre,Type  cuisine : Cuisine indépendante,1 salle d'eau6 chambres,Type  cuisine : Cuisine équipée,2 salles de bain,Cheminée",5,48.6396904,2.2710952
Montmorency (95160),3 chambres1 chambre,2,48.9891693,2.3197111
Montreuil (93100),"332 chambres1 chambre,1 salle de bain1 chambre2 chambres4 chambres5 chambres1 chambre,1 salle de bain2 chambres1 chambre",12,50.4638918,1.7631125
Montrouge (92120),2 chambres2 chambres2 chambres1 chambre,4,48.8188544,2.3194375
